,user_id,screen_name
226,2176738226,LADAOffice
227,29515247,MelissaAFrancis
228,92119688,lafayette148ny
229,551280788,KirstanConley
230,21790160,PastorJohnHagee
231,153474021,MichaelKors
232,109702885,marcjacobs
233,250911289,AlexanderWangNY
234,280629993,JasonWu
235,274040176,givenchy
236,221392767,McQueen
237,69615397,LouboutinWorld
238,68399194,jimmychoo
239,114796408,Fendi
240,1156866230,Prada
241,44084633,LouisVuitton
242,136361303,voguemagazine
243,47459700,Burberry
244,60054156,YSL
245,85772748,dolcegabbana
246,326359913,CHANEL
247,73359920,MaisonValentino
248,22633584,HeatherMcDonald
249,34395888,RalphLauren
250,18647765,CalvinKlein
251,78021221,armani
252,72568426,Versace
253,49239873,Roberto_Cavalli
254,1383097530,jasonrileywsj
255,2480216612,foxnewsdesk
256,714334891,ManoloBlahnik
257,29609592,jilliekans
258,1426147146,thecolor19
259,118845216,SheriffClarke
260,17393196,NYPDnews
261,190799374,A_Ingelmo
262,23560015,warnerbros
263,30180137,TommyHilfiger
264,173999134,BWilliams
265,350426737,Garrett_FoxNews
266,64496398,MelissaJoanHart
267,63291287,staceydash
268,44951059,RealSheriffJoe
269,188969454,PaulBabeuAZ
270,27673921,eHasselrack
271,18916432,SpeakerRyan
272,216881337,RandPaul
273,22509548,DarrellIssa
274,22055226,replouiegohmert
275,17800215,jasoninthehouse
276,15745368,marcorubio
277,237403203,AllenWest
278,88784440,SenMikeLee
279,733751245,PRyan
280,1180379185,RealBenCarson
281,1074480192,SenTedCruz
282,50055701,MittRomney
283,23022687,tedcruz
284,18906561,GovernorPerry
285,27744185,krauthammer
286,47739450,ByronYork
287,69773058,stephenfhayes
288,49457533,Avik
289,112047805,brithume
290,281610530,Varneyco
291,46681100,marthamaccallum
292,581999965,RealDeanCain
293,62812958,Betsy_McCaughey
294,33276161,JohnFugelsang
295,147725246,FoxNewsInsider
296,31540671,foxnewsalert
297,7713202,SpeakerBoehner
298,15022633,Dennis_Kucinich
299,40156330,ScottGottliebMD
300,460848738,DrZuhdiJasser
301,90480218,RichardGrenell
302,2808322256,SI_YoungGOP
303,19805496,JulieBanderas
304,39139780,MaureenMakeup
305,118756393,AmbJohnBolton
306,237348797,TGowdySC
307,334715818,BuckSexton
308,166990746,MonicaCrowley
309,21010214,BillHemmer
310,26487169,LouDobbs
311,223970563,TeamCavuto
312,334053327,TheFive
313,122207745,SpecialReport
314,39308549,DailyCaller
315,16157855,edhenry
316,48029066,JamesRosenTV
317,16187637,ChadPergram
318,18805644,FoxNewsSunday
319,48861486,drrobiludwig
320,3390731,tomshillue
321,144569635,MikeyKayNYC
322,250636679,KarenDupiche
323,97621939,edwards_yancey
324,299456906,USAFmedicVET
325,396704627,EboniKWilliams
326,213634439,RepReneeEllmers
327,15751083,michaelcburgess
328,5695632,BuzzFeed
329,907165158,McHaleFrank
330,17898056,carpqueen
331,68198046,peterjohnsonjr
332,1248202656,paolamiliterno
333,17475920,BagSnob
334,755256301,JudgeJeanineGPS
335,213529544,NYSindy
336,25290694,vincenzacarovil
337,23970171,TomRooney
338,29216764,Judgenap
339,168541923,ACTforAmerica
340,16012783,thedailybeast
341,114547989,stefcutter
342,19084864,MichelleSigona
343,430397794,JoeyJacksonEsq
344,18853583,JohnSharpMD
345,16724353,lenoreva
346,17660116,BethFishReads
347,16442457,BonnieFuller
348,27386099,ChristopherHahn
349,7841652,andylevy
350,19091173,scrowder
351,43698856,CarolineManzo
352,26053643,jimmykimmel
353,409486555,MichelleObama
354,813286,BarackObama
355,6480682,azizansari
356,18228898,johnlegend
357,91390383,SofiaVergara
358,460485003,itsJulieBowen
359,27825390,ericstonestreet
360,20196258,ElizabethBanks
361,258900199,RepMaloney
362,19726613,SenatorCollins
363,72198806,SenGillibrand
364,20095845,iamjrmartinez
365,28628850,greggutfeld
366,161420856,GiordanosPizza
367,402322630,DionBaia
368,249228661,AmyRosenblumTV
369,7259302,JoeTrippi
370,110827653,EvaLongoria
371,246084177,tarabera11
372,110445334,megynkelly
373,27311044,DanaPerino
374,137355680,noellenikpour
375,18313747,HARRISFAULKNER
376,18646108,BretBaier
377,14335880,KirstenPowers
378,389512058,EdRollins
379,15416505,GovMikeHuckabee
380,186646579,ainsleyearhardt
381,228747444,TheJuanWilliams
382,17947425,tonyareiman
383,48410093,TomCruise
384,71876190,DannyDeVito
385,304438831,Aphrodite_Jones
386,27949916,MarkEiglarsh
387,25101996,kimguilfoyle
388,194788901,cdurso96
389,60776762,amye320
390,309269219,DickTracyOrlndo
391,179126759,IndyEatWell
392,330919029,brixo220
393,82677087,anthonycase
394,257963431,AChocolateWoman
395,28991169,BethKaras
396,32162348,bryanlavietes
397,284602545,WhoopiGoldberg
398,288452305,ABFalecbaldwin
399,27104958,JimLichtenstein
400,26282046,HLNTV
401,269852626,NancyGrace
402,299790272,TVAshleigh
403,120153772,WomenintheWorld
404,19582385,ChuyBravo
405,19877186,chelseahandler
406,22055109,SteveDoocy
407,18583722,Janefonda
408,19329393,PerezHilton
409,16190898,RyanSeacrest
410,15227791,WilliamShatner
411,27109019,ElizabethTaylor
412,20109973,AnnCurry
413,21414413,Joan_Rivers
414,33514869,BarbaraJWalters
415,21258337,TheView
416,29546945,GayleKing
417,2884771,Newsweek
418,22650211,GMA
419,21324258,MarthaStewart
420,22685200,kingsthings
421,14361155,Refugees
422,33933259,UNICEF
423,36683668,USAID
424,19621110,good
425,16423109,RED
426,15139457,kens888
427,17461978,SHAQ
428,27750488,PaulaAbdul
429,27042513,RealHughJackman
430,19058681,aplusk
431,115485051,ConanOBrien
432,16124481,dawashington
433,28096105,Montel_Williams
434,14884472,BillSchulz
435,10156532,momlogic
436,16331010,TMZ
437,15676578,extratv
438,25365536,KimKardashian
439,22047070,limbaugh
440,65493023,SarahPalinUSA
441,53238154,howiemandel
442,24963961,OzzyOsbourne
443,8795772,freep
444,428333,cnnbrk
445,759251,CNN
446,16664681,latimes
447,19259102,Harvard_Law
448,28144343,WSJLawNews
449,28143425,WSJlaw
450,22411875,nytimesphoto
451,807095,nytimes
452,100598125,SportsTalkCHI
453,7313362,chicagotribune
454,17093617,hootsuite
455,17454769,glennbeck
456,25073877,realDonaldTrump
457,15097998,TraceAdkins
458,65992743,lindsaylohan
459,46627530,rosannascotto
460,60667856,ndvh
461,20641995,mariolopezviva
462,19397785,Oprah
463,15846407,TheEllenShow
464,53153263,tyrabanks
465,133792190,JudgeGregMathis
466,193878351,Love_IsNotAbuse
467,27847834,DAYBREAKUSA
468,19956026,elvisduran
469,15637594,Jillzarin
470,32004130,JoyVBehar
471,25589776,people
472,15224867,andersoncooper
473,21198477,primetimeJoey
474,15354756,dbarbossa
475,21232507,SamChampion
476,2836421,MSNBC
477,17469289,nypost
478,1367531,FoxNews
479,9252212,PoliticalTicker
480,1652541,Reuters
481,14173315,NBCNews
482,10222202,latimesent
483,23261363,MakeupByMario
484,20118234,georgieboyla
485,27027994,carolynhalpern
486,27538577,stacylondon
487,27960197,wendydiamond
488,16622713,ldmandel
489,22193767,jafpac
490,22448911,telepixie
491,1062465792212717574,KerriKupecDOJ
492,40891771,WhitlockJason
493,1267841066335682562,RepTiffany
494,20545835,newsmax
495,983108315466162178,loganclarkhall
496,827279765287559171,RepMikeJohnson
497,1261286876142604288,SelectGOP
498,113758100,DennisDMZ
499,18379614,RubinReport
500,98471035,Liz_Cheney
501,3995778614,KamVTV
502,41504814,BonillaJL
503,59812317,HillsdaleInDC
504,2164909022,MikeLeeforUtah
505,17061263,netanyahu
506,916052708930588672,circleboom
507,4081106480,realDailyWire
508,109579534,EliseStefanik
509,1080870981877534720,SenatorBraun
510,46176168,MajorCBS
511,114388293,KristiNoem
512,22798141,FoxSportsRadio
513,334920737,Outkick
514,50772918,ClayTravis
515,704320143824953344,senjudiciary
516,278145569,MarshaBlackburn
517,18632666,JerryMoran
518,75364211,SenPatRoberts
519,555474658,SenThadCochran
520,264219447,SenatorWicker
521,1071402577,SenatorFischer
522,1096059529,SenatorRisch
523,600463589,MikeCrapo
524,983348251972816896,SenHydeSmith
525,291756142,SenatorEnzi
526,202206694,SenJohnBarrasso
527,816683274076614656,SenJohnKennedy
528,1017500185356853248,SenBillCassidy
529,816131319033950208,RepJimBanks
530,2966205003,RepMarkWalker
531,816719802328715264,RepLizCheney
532,1083469084648505344,CongressmanJVD
533,191469176,sarahnferris
534,14836282,Jim_Banks
535,3131144855,BorisJohnson
536,1408003598,FDRLST
537,1196441152486072320,CBS_Herridge
538,178363095,TheRightRussell
539,2574326187,slisker
540,1046783815937662976,SpectrumNews1OH
541,211530910,RepBillJohnson
542,42153941,elainaplott
