,from_id,to_id
0,25073877,29458079
1,29458079,130684893
2,29458079,3195591187
3,29458079,523248016
4,29458079,405004997
5,29458079,3066129832
6,29458079,264361128
7,29458079,45676731
8,29458079,1073588049588772864
9,29458079,47293791
10,29458079,339219479
11,29458079,778763106289758208
12,29458079,60204453
13,29458079,861401791
14,29458079,40955703
15,29458079,384910109
16,29458079,47451717
17,29458079,21149655
18,29458079,166751745
19,29458079,85603854
20,29458079,885149478
21,29458079,770781940341288960
22,29458079,432895323
23,29458079,913090649397833728
24,29458079,19739126
25,29458079,1088161686027145216
26,29458079,489901134
27,29458079,3158209412
28,29458079,36452050
29,29458079,1687120508
30,29458079,72502169
31,29458079,823638938590085124
32,29458079,376453771
33,29458079,790928380845776896
34,29458079,138182116
35,29458079,313591533
36,29458079,457984599
37,29458079,1209936918
38,29458079,17995040
39,29458079,18247062
40,29458079,7702542
41,29458079,468646961
42,29458079,216328260
43,29458079,16989178
44,29458079,111778335
45,29458079,353884793
46,29458079,43845924
47,29458079,491719838
48,29458079,62876780
49,29458079,171632862
50,29458079,25202268
51,29458079,2750127259
52,29458079,818948638890217473
53,29458079,54412900
54,29458079,963480595
55,29458079,18166778
56,29458079,2908170952
57,29458079,232901331
58,29458079,21536398
59,29458079,15633770
60,29458079,911780719
61,29458079,142339174
62,29458079,245963716
63,29458079,563712850
64,29458079,2417586104
65,29458079,878247600096509952
66,29458079,169686021
67,29458079,196168350
68,29458079,333663029
69,29458079,919954735226073094
70,29458079,2334193741
71,29458079,18266688
72,29458079,167122787
73,29458079,292929271
74,29458079,2779389582
75,29458079,851526166100029442
76,29458079,259001548
77,29458079,270412323
78,29458079,2353605901
79,29458079,823367015830323201
80,29458079,823693635564802048
81,29458079,14529929
82,29458079,5509762
83,29458079,20776147
84,29458079,85985754
85,29458079,30205586
86,29458079,573450868
87,29458079,2097571
88,29458079,1710705968
89,29458079,10774652
90,29458079,247723476
91,29458079,14669951
92,29458079,20713061
93,29458079,1098615836
94,29458079,9300262
95,29458079,818876014390603776
96,29458079,16537989
97,29458079,818910970567344128
98,29458079,822215673812119553
99,29458079,822215679726100480
100,29458079,818927131883356161
101,29458079,4852161304
102,29458079,56413858
103,29458079,830175811902832644
104,29458079,120295432
105,29458079,806401995397623808
106,29458079,17685258
107,29458079,36528126
108,29458079,27915028
109,29458079,2304017702
110,29458079,24578794
111,29458079,19737700
112,29458079,14245378
113,29458079,65691824
114,29458079,22203756
115,29458079,52136185
116,29458079,4121225056
117,29458079,71627462
118,29458079,172414996
119,29458079,2448135692
120,29458079,2332354080
121,29458079,471672239
122,29458079,729676086632656900
123,29458079,158820629
124,29458079,240454812
125,29458079,475802156
126,29458079,75541946
127,29458079,25413556
128,29458079,2687764388
129,29458079,1084375028
130,29458079,58120509
131,29458079,54671747
132,29458079,30244119
133,29458079,42670638
134,29458079,119099353
135,29458079,272395158
136,29458079,15874918
137,29458079,259025089
138,29458079,24471951
139,29458079,28033140
140,29458079,2330590446
141,29458079,20726800
142,29458079,16032925
143,29458079,2227025612
144,29458079,138809881
145,29458079,28587919
146,29458079,49140008
147,29458079,47722134
148,29458079,1347285918
149,29458079,171154131
150,29458079,312800783
151,29458079,76543481
152,29458079,329738325
153,29458079,38495835
154,29458079,21902251
155,29458079,219540733
156,29458079,31058145
157,29458079,426802833
158,29458079,204386512
159,29458079,246500501
160,29458079,22720093
161,29458079,37764422
162,29458079,43277789
163,29458079,82447359
164,29458079,25429371
165,29458079,33550291
166,29458079,23233038
167,29458079,48459553
168,29458079,9229672
169,29458079,43919633
170,29458079,107125748
171,29458079,16072676
172,29458079,29465136
173,29458079,25928003
174,29458079,242468337
175,29458079,488679352
176,29458079,15513604
177,29458079,110840071
178,29458079,63290331
179,29458079,19740592
180,29458079,18950931
181,29458079,41587384
182,29458079,180505807
183,29458079,91882544
184,29458079,15976697
185,29458079,78523300
186,29458079,3331855162
187,29458079,20708260
188,29458079,7744592
189,29458079,16869718
190,29458079,14268812
191,29458079,15160884
192,29458079,35574773
193,29458079,17872692
194,29458079,11856932
195,29458079,220081296
196,29458079,28885852
197,29458079,266084180
198,29458079,2176738226
199,29458079,29515247
200,29458079,92119688
201,29458079,551280788
202,29458079,21790160
203,29458079,153474021
204,29458079,109702885
205,29458079,250911289
206,29458079,280629993
207,29458079,274040176
208,29458079,221392767
209,29458079,69615397
210,29458079,68399194
211,29458079,114796408
212,29458079,1156866230
213,29458079,44084633
214,29458079,136361303
215,29458079,47459700
216,29458079,60054156
217,29458079,85772748
218,29458079,326359913
219,29458079,73359920
220,29458079,22633584
221,29458079,34395888
222,29458079,18647765
223,29458079,78021221
224,29458079,72568426
225,29458079,49239873
226,29458079,108471631
227,29458079,56561449
228,29458079,1383097530
229,29458079,39349894
230,29458079,39344374
231,29458079,2480216612
232,29458079,714334891
233,29458079,29609592
234,29458079,1426147146
235,29458079,118845216
236,29458079,17393196
237,29458079,190799374
238,29458079,23560015
239,29458079,30180137
240,29458079,173999134
241,29458079,350426737
242,29458079,64496398
243,29458079,63291287
244,29458079,44951059
245,29458079,188969454
246,29458079,27673921
247,29458079,18916432
248,29458079,216881337
249,29458079,22509548
250,29458079,22055226
251,29458079,17800215
252,29458079,15745368
253,29458079,237403203
254,29458079,88784440
255,29458079,733751245
256,29458079,1180379185
257,29458079,1074480192
258,29458079,50055701
259,29458079,23022687
260,29458079,18906561
261,29458079,27744185
262,29458079,22703645
263,29458079,47739450
264,29458079,69773058
265,29458079,49457533
266,29458079,112047805
267,29458079,281610530
268,29458079,46681100
269,29458079,581999965
270,29458079,62812958
271,29458079,33276161
272,29458079,147725246
273,29458079,31540671
274,29458079,7713202
275,29458079,15022633
276,29458079,40156330
277,29458079,460848738
278,29458079,90480218
279,29458079,2808322256
280,29458079,19805496
281,29458079,39139780
282,29458079,118756393
283,29458079,237348797
284,29458079,334715818
285,29458079,50769180
286,29458079,166990746
287,29458079,21010214
288,29458079,41634520
289,29458079,26487169
290,29458079,223970563
291,29458079,334053327
292,29458079,122207745
293,29458079,39308549
294,29458079,208155240
295,29458079,16157855
296,29458079,48029066
297,29458079,16187637
298,29458079,23970102
299,29458079,18805644
300,29458079,48861486
301,29458079,3390731
302,29458079,144569635
303,29458079,250636679
304,29458079,97621939
305,29458079,299456906
306,29458079,396704627
307,29458079,213634439
308,29458079,15751083
309,29458079,5695632
310,29458079,907165158
311,29458079,17898056
312,29458079,68198046
313,29458079,1248202656
314,29458079,52544275
315,29458079,17475920
316,29458079,755256301
317,29458079,213529544
318,29458079,25290694
319,29458079,23970171
320,29458079,29216764
321,29458079,168541923
322,29458079,16012783
323,29458079,114547989
324,29458079,19084864
325,29458079,430397794
326,29458079,18853583
327,29458079,16724353
328,29458079,17660116
329,29458079,16442457
330,29458079,27386099
331,29458079,7841652
332,29458079,19091173
333,29458079,43698856
334,29458079,26053643
335,29458079,409486555
336,29458079,813286
337,29458079,6480682
338,29458079,18228898
339,29458079,91390383
340,29458079,460485003
341,29458079,27825390
342,29458079,20196258
343,29458079,258900199
344,29458079,19726613
345,29458079,72198806
346,29458079,20095845
347,29458079,14839147
348,29458079,28628850
349,29458079,161420856
350,29458079,402322630
351,29458079,249228661
352,29458079,7259302
353,29458079,110827653
354,29458079,246084177
355,29458079,110445334
356,29458079,27311044
357,29458079,137355680
358,29458079,18313747
359,29458079,18646108
360,29458079,14335880
361,29458079,389512058
362,29458079,15416505
363,29458079,186646579
364,29458079,228747444
365,29458079,17947425
366,29458079,48410093
367,29458079,71876190
368,29458079,304438831
369,29458079,27949916
370,29458079,25101996
371,29458079,194788901
372,29458079,60776762
373,29458079,309269219
374,29458079,179126759
375,29458079,330919029
376,29458079,82677087
377,29458079,257963431
378,29458079,28991169
379,29458079,32162348
380,29458079,284602545
381,29458079,288452305
382,29458079,27104958
383,29458079,16031927
384,29458079,26282046
385,29458079,269852626
386,29458079,299790272
387,29458079,120153772
388,29458079,19582385
389,29458079,19877186
390,29458079,22055109
391,29458079,18583722
392,29458079,19329393
393,29458079,16190898
394,29458079,15227791
395,29458079,27109019
396,29458079,20109973
397,29458079,21414413
398,29458079,33514869
399,29458079,21258337
400,29458079,29546945
